criminalidad,es_archivo,es_preclusion,estado,etapa_caso,ley,pais_hecho,departamento_hecho,municipio_hecho,seccional,anio_hechos,anio_entrada,anio_denuncia,grupo_delito,victima_consumado,sexo,grupo_etario,pais_nacimiento,aplica_lgbti,aplica_nna,indigena,afrodescendiente,total_victimas,delito,agravante,Type,total_victimas_nna,cod_dep,cod_mun
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Risaralda,PEREIRA,DIRECCIÓN SECCIONAL DE RISARALDA,2022,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,DEMANDA DE EXPLOT.SEX. COMERC. MENOR DE 18 AÑOS ART. 217A,,ESCNNA,1,66,66001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2022,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,4,PROXENETISMO CON MENOR DE EDAD ART. 213A,,ESCNNA,4,05,05001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Norte de Santander,CÚCUTA,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,2021,2021,2021,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,54,54001
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2025,2025,2025,DELITOS SEXUALES,NO APLICA,SIN DATO,SIN DATO,SIN DATO,NO,SI,NO,NO,5,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,5,11,11001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,ENVIGADO,DIRECCIÓN SECCIONAL DE MEDELLÍN,2016,2016,2016,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,05,05266
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,PIEDECUESTA,DIRECCIÓN SECCIONAL DE SANTANDER,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,68,68547
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2019,2019,2019,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),SIN DATO,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,08,08001
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,COTA,DIRECCIÓN SECCIONAL DE BOGOTÁ,2017,2017,2017,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,25,25214
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Atlántico,BARRANQUILLA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2016,2017,2017,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,INDUCCION A LA PROSTITUCION ART. 213,,ESCNNA,1,08,08001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,ROVIRA,DIRECCIÓN SECCIONAL DE TOLIMA,2018,2018,2018,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,73,73624
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,VALLEDUPAR,DIRECCIÓN SECCIONAL DE CESAR,2025,2025,2025,DELITOS SEXUALES,NO APLICA,MASCULINO,ADULTO,Colombia,NO,NO,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,0,20,20001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,MARÍA LA BAJA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2023,2023,2023,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,13,13442
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,Huila,NEIVA,DIRECCIÓN SECCIONAL DE HUILA,2015,2015,2015,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,2,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,2,41,41001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2024,2024,2024,DELITOS SEXUALES,NO APLICA,SIN DATO,SIN DATO,SIN DATO,NO,SI,NO,NO,3,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,3,05,05001
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caldas,MANZANARES,DIRECCIÓN SECCIONAL DE CALDAS,2021,2022,2022,DELITOS SEXUALES,NO APLICA,FEMENINO,NIÑA-NIÑO (0-13 años),Colombia,NO,SI,NO,NO,1,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,1,17,17433
SI,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,Ley 906,Colombia,Cesar,VALLEDUPAR,DIRECCIÓN SECCIONAL DE CESAR,2014,2015,2015,DELITOS SEXUALES,NO APLICA,FEMENINO,SIN DATO,Colombia,NO,SI,NO,NO,1,PORNOGRAFIA CON MENORES ART. 218,,ESCNNA,1,20,20001
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,"Bogotá, D.C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2025,2025,2025,DELITOS SEXUALES,NO APLICA,FEMENINO,ADOLESCENTE (14-17 años),Colombia,NO,SI,NO,NO,2,UTILIZAC.O FACILITAC.MEDIOS DE COMUNICAC.PARA OFRECER ACTIV. SEXUALES CON MENORES DE 18 AÑOS ART. 219A,,ESCNNA,2,11,11001
